,,,,,,,,,,,,,,,,,
Year,Primary production,Secondary production old scrap,Secondary production new scrap,Secondary production,Shipments,Imports,Exports,Industry stocks,LME stocks,Government stocks,Total stocks,Apparent consumption,Unit value ($/t),Unit value (98$/t),World production,Employment,Net import reliance (%)
1901,"2,603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,600",728,"14,000","6,800",NA,NA
1902,"2,615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,620",728,"14,000","7,900",NA,NA
1903,"3,010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,010",728,"13,000","8,500",NA,NA
1904,"3,674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,670",772,"14,000","10,000",NA,NA
1905,"4,903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,900",772,"14,000","13,000",NA,NA
1906,"6,407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6,410",789,"14,000","17,000",NA,NA
1907,"7,405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7,410",992,"17,000","22,000",NA,NA
1908,"4,844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,840",633,"12,000","17,000",NA,NA
1909,"13,190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13,200",485,"8,800","30,000",NA,NA
1910,"16,060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16,100",492,"8,600","45,000",NA,NA
1911,"17,420",NA,NA,NA,NA,"1,890",NA,NA,NA,NA,NA,"19,300",443,"7,800","46,000",NA,NA
1912,"18,960",NA,NA,NA,NA,"10,300",NA,NA,NA,NA,NA,"29,300",485,"8,200","58,000",NA,NA
1913,"21,450",NA,"4,220","4,220",NA,"10,500",NA,NA,NA,NA,NA,"32,000",520,"8,550","65,000",NA,NA
1914,"26,300",NA,"4,100","4,100",NA,"7,370",NA,NA,NA,NA,NA,"33,700",410,"6,660","69,000",NA,NA
1915,"41,050",NA,"7,710","7,710",NA,"3,870",NA,NA,NA,NA,NA,"44,900",750,"12,000","78,000",NA,NA
1916,"52,210",NA,"17,500","17,500",NA,"3,020",NA,NA,NA,NA,NA,"55,200","1,340","20,000","106,000",NA,NA
1917,"58,900",NA,"14,600","14,600",NA,27,"4,550",NA,NA,NA,NA,"54,400","1,140","14,500","123,000",NA,NA
1918,"56,580",NA,"13,700","13,700",NA,816,"10,900",NA,NA,NA,NA,"46,400",739,"8,000","128,000",NA,NA
1919,"58,280",NA,"17,000","17,000",NA,"6,280","2,280",NA,NA,NA,NA,"62,300",708,"6,680","121,000",NA,NA
1920,"62,610",NA,"14,100","14,100",NA,"17,800","4,270",NA,NA,NA,NA,"76,200",721,"5,860","125,000",NA,NA
1921,"24,740",NA,"8,070","8,070",NA,"14,800",996,NA,NA,NA,NA,"38,500",487,"4,430","70,000",NA,NA
1922,"33,400",NA,"14,800","14,800",NA,"19,900","2,130",NA,NA,NA,NA,"51,200",412,"4,000","87,000",NA,NA
1923,"58,360",NA,"19,300","19,300",NA,"19,300","2,510",NA,NA,NA,NA,"75,100",560,"5,330","141,000",NA,NA
1924,"68,300",NA,"24,500","24,500",NA,"14,400","2,880",NA,NA,NA,NA,"79,800",595,"5,670","168,000",NA,NA
1925,"63,560",NA,"39,900","39,900",NA,"19,100","5,730",NA,NA,NA,NA,"76,900",595,"5,510","178,000",NA,NA
1926,"65,000",NA,"40,100","40,100",NA,"32,400","3,460",NA,NA,NA,NA,"93,900",595,"5,460","195,000",NA,NA
1927,"73,000",NA,"41,900","41,900",NA,"28,400","6,590",NA,NA,NA,NA,"94,800",560,"5,230","220,000",NA,NA
1928,"95,000",NA,"43,400","43,400",NA,"17,600","7,130",NA,NA,NA,NA,"105,000",536,"5,100","258,000",NA,NA
1929,"102,000",NA,"43,900","43,900",NA,"23,100","7,730",NA,NA,NA,NA,"117,000",536,"5,100","280,000",NA,NA
1930,"103,900",NA,"35,000","35,000",NA,"11,500","7,860",NA,NA,NA,NA,"108,000",525,"5,150","272,000",NA,NA
1931,"81,000",NA,"27,500","27,500",NA,"6,730","2,130",NA,NA,NA,NA,"85,600",514,"5,500","220,000",NA,NA
1932,"47,000",NA,"21,800","21,800",NA,"3,710","2,010",NA,NA,NA,NA,"48,700",514,"6,130","153,000",NA,NA
1933,"38,610",NA,"30,400","30,400",NA,"6,920","2,590",NA,NA,NA,NA,"42,900",514,"6,470","142,000",NA,NA
1934,"33,650",NA,"42,100","42,100",NA,"8,430","3,800",NA,NA,NA,NA,"38,300",516,"6,290","170,000",NA,NA
1935,"54,110",NA,"46,600","46,600",NA,"9,660","1,800",NA,NA,NA,NA,"62,000",441,"5,240","259,000",NA,NA
1936,"102,000",NA,"46,700","46,700",NA,"11,600",728,NA,NA,NA,NA,"113,000",452,"5,320","360,000",NA,NA
1937,"132,800",NA,"56,800","56,800",NA,"20,500","2,440",NA,NA,NA,NA,"151,000",439,"4,980","482,000",NA,NA
1938,"130,100",NA,"35,200","35,200",NA,"8,050","5,720",NA,NA,NA,NA,"132,000",441,"5,100","579,000",NA,NA
