DATE,IPUEN3314C030000000
1987-01-01,0.123
1988-01-01,0.152
1989-01-01,0.152
1990-01-01,0.143
1991-01-01,0.118
1992-01-01,0.129
1993-01-01,0.156
1994-01-01,0.205
1995-01-01,0.198
1996-01-01,0.176
1997-01-01,0.212
1998-01-01,0.208
1999-01-01,0.204
2000-01-01,0.220
2001-01-01,0.188
2002-01-01,0.101
2003-01-01,0.146
2004-01-01,0.187
2005-01-01,0.172
2006-01-01,0.206
2007-01-01,0.204
2008-01-01,0.193
2009-01-01,0.291
2010-01-01,0.374
2011-01-01,0.309
2012-01-01,0.210
2013-01-01,0.205
2014-01-01,0.203
2015-01-01,0.233
2016-01-01,0.249
2017-01-01,0.245
2018-01-01,0.216
2019-01-01,0.222
2020-01-01,0.302
2021-01-01,0.378
