,,,,,,,
Year,Aluminum,Copper,Lead,Manganese,Nickel,Tin,Zinc
1901,99.69,98.3,97.89,111.7,111.36,82.25,91.59
1902,98.5,66.49,90.9,111.43,88.02,87.45,107.61
1903,96.3,78.04,92.59,178.93,76.52,89.66,112.74
1904,100.96,74.69,93.03,97.74,75.63,88.3,105.92
1905,102.14,91.89,102.85,117.23,76.52,100.1,124.55
1906,102.2,111.16,120.91,194.25,74.85,124.34,128.64
1907,122.96,110.38,108.78,178.88,80.58,114.08,118.25
1908,80.09,74.46,87.7,104.66,82.3,89.92,95.2
1909,62.09,73.99,90.18,113.61,74,91.75,112.47
1910,60.27,69.55,90,114.66,70.87,100.86,94.33
1911,54.33,67.58,89.39,112.07,70.87,124.99,106.05
1912,58.26,87.4,88.58,92.86,69.43,133.53,134.13
1913,61.19,79.97,84.79,102.75,71.38,125.5,106.23
1914,47.78,70.56,74.2,99.45,69.04,96.38,96.82
1915,87.15,89.2,89.31,105.89,68.68,107.88,248.43
1916,142.01,128.53,120.1,164.19,64.4,111.27,220.1
1917,99.42,106.59,127.71,127.97,53.45,131.25,127.42
1918,55.54,82.23,91.65,171.13,44.42,160.44,97.14
1919,46.19,54.32,62.02,163.6,37.73,99.67,74.92
1920,38.01,43.8,73.99,100.2,34.19,65.58,70.97
1921,29.48,35.11,47.24,36.4,38.28,45.51,48.27
1922,27.76,40.11,63.64,68.45,36.98,52.84,63.24
1923,37.04,42.47,79.33,86.85,34.42,68.05,71.8
1924,39.31,38.28,88.23,73.51,28.6,79.9,68.75
1925,38.62,40.27,95.84,80.78,30.73,89.92,80.6
1926,37.97,39.2,88.61,77.42,33.2,100.42,76.89
1927,36.4,37.4,72.49,70.4,32.89,100.86,66.61
1928,34.73,42.33,68.51,76.18,35.25,80.16,65.27
1929,34.73,53.15,74.27,78.88,33.35,71.78,70.47
1930,35.48,39.08,61.57,69.32,34.21,51.67,50.63
1931,38.08,26.8,51.86,60.23,37.51,43.74,44.31
