,,,,,,,,,,,
,,,,,,,,,,,
Year,Primary production,Secondary production,Imports,Exports,Government shipments,Government stocks,Industry stocks,Apparent consumption,Unit value ($/t),Unit value (98$/t),World production
1900,NA,NA,"31,700",NA,NA,NA,NA,"31,700",659,"12,900",NA
1901,NA,NA,"33,800",NA,NA,NA,NA,"33,800",368,"7,220",NA
1902,NA,NA,"38,600",NA,NA,NA,"15,000","38,600",591,"11,200",NA
1903,NA,NA,"37,700",NA,NA,NA,"18,400","34,300",619,"11,300",NA
1904,NA,NA,"37,600",NA,NA,NA,"15,000","41,000",617,"11,200",NA
1905,NA,NA,"40,100",NA,NA,NA,NA,"40,100",692,"12,600","93,600"
1906,NA,NA,"45,800",NA,NA,NA,NA,"45,800",877,"15,900","98,400"
1907,NA,NA,"37,400",NA,NA,NA,NA,"37,400",842,"14,800","93,800"
1908,NA,NA,"37,400",NA,NA,NA,NA,"37,400",650,"11,800","106,000"
1909,NA,NA,"43,200",NA,NA,NA,NA,"43,200",655,"11,900","106,000"
1910,NA,NA,"47,700",NA,NA,NA,NA,"47,700",752,"13,200","105,000"
1911,NA,NA,"48,600",NA,NA,NA,NA,"48,600",933,"16,400","112,000"
1912,NA,NA,"52,600",NA,NA,NA,NA,"52,600","1,020","17,200","122,000"
1913,NA,NA,"47,500",NA,NA,NA,NA,"47,500",977,"16,100","136,000"
1914,NA,NA,"43,100",NA,NA,NA,NA,"43,100",756,"12,300","128,000"
1915,NA,NA,"52,400",346,NA,NA,NA,"52,100",851,"13,700","129,000"
1916,"2,050",NA,"62,600",456,NA,NA,NA,"64,200",959,"14,300","128,000"
1917,"5,500",NA,"65,500",267,NA,NA,NA,"70,700","1,360","17,400","135,000"
1918,"9,330",NA,"64,600",258,NA,NA,NA,"73,700","1,960","21,100","128,000"
1919,"11,100",NA,"40,700",346,NA,NA,NA,"51,500","1,400","13,200","123,000"
1920,"16,000",NA,"57,000",942,NA,NA,NA,"72,100","1,070","8,660","126,000"
1921,"10,500",NA,"24,600","1,420",NA,NA,NA,"33,700",659,"5,990","110,000"
1922,"8,260",NA,"61,200","1,120",NA,NA,NA,"68,300",719,"6,980","127,000"
1923,"6,770",NA,"70,000","1,060",NA,NA,NA,"75,700",941,"8,960","130,000"
1924,441,NA,"66,100",974,NA,NA,NA,"65,600","1,110","10,500","142,000"
1925,NA,NA,"77,900",947,NA,NA,NA,"77,000","1,280","11,900","147,000"
1926,NA,NA,"78,400","2,010",NA,NA,NA,"76,400","1,440","13,200","146,000"
1927,NA,NA,"72,300","2,270",NA,NA,NA,"70,000","1,420","13,300","161,000"
1928,NA,NA,"79,200","1,640",NA,NA,NA,"77,600","1,110","10,600","180,000"
1929,NA,NA,"88,500","1,960",NA,NA,NA,"86,500",996,"9,490","196,000"
1930,NA,NA,"82,000","2,270",NA,NA,NA,"79,700",699,"6,850","179,000"
1931,NA,NA,"67,100","1,690",NA,NA,NA,"65,400",540,"5,790","149,000"
1932,NA,NA,"35,400","1,130",NA,NA,NA,"34,300",485,"5,770","96,500"
1933,NA,NA,"64,700","1,060",NA,NA,NA,"63,600",862,"10,800","90,400"
1934,NA,NA,"40,600","1,240",NA,NA,"16,800","39,400","1,150","14,000","122,000"
1935,NA,NA,"65,300","2,330",NA,NA,"18,000","61,800","1,110","13,200","137,000"
1936,NA,NA,"77,200",392,NA,NA,"26,600","68,200","1,020","12,000","182,000"
1937,NA,NA,"89,500",318,NA,NA,"32,300","83,500","1,200","13,600","213,000"
1938,NA,NA,"50,500",208,NA,NA,"27,600","55,000",933,"10,800","166,000"
1939,NA,"15,300","71,200","2,140",NA,NA,"37,700","74,300","1,110","13,000","180,000"
1940,"1,410","18,600","127,000","2,710",NA,"21,800","79,600","102,000","1,100","12,800","240,000"
1941,"1,870","26,900","79,300","1,770",NA,"50,800","76,600","80,300","1,150","12,700","244,000"
1942,"16,400","21,600","27,200",416,NA,NA,"45,000","96,400","1,150","11,500","124,000"
1943,"21,800","22,800","12,100","1,800","-14,100",NA,"25,300","60,500","1,150","10,800","146,000"
1944,"31,400","19,400","13,600",857,"-16,000","40,500","21,500","51,300","1,150","10,600","102,000"
1945,"41,100","21,800","8,630",896,0,"12,300","16,000","104,000","1,150","10,400","88,400"
1946,"22,500","15,900","15,800",895,0,"22,600","29,900","29,100","1,200","10,000","89,400"
1947,"33,800","17,200","25,300",427,0,"12,300","33,700","82,400","1,720","12,500","115,000"
1948,"37,300","18,200","50,000",93,0,"36,800","27,600","87,000","2,190","14,800","156,000"
1949,"36,400","15,000","61,200",156,0,"22,800","34,000","120,000","2,190","15,000","164,000"
1950,"33,600","21,900","84,200",812,0,"18,900","37,700","139,000","2,110","14,200","172,000"
